session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
WEOB - Accelerators Session 1,WEOB01,Copper alloy additive manufacturing for SOLEIL II,,,"The Synchrotron SOLEIL is a large-scale research facility in France that provides synchrotron radiation from terahertz to hard X-rays for various scientific applications. To meet the evolving needs of the scientific community and to remain competitive with other European facilities, SOLEIL has planned an upgrade project called SOLEIL II. The project aims to reconstruct the storage ring as a Diffraction Limited Storage Ring (DLSR) with a record low emittance which will enable nanometric resolution. The mechanical design of this project involves several challenges such as the integration of new magnets, vacuum chambers, insertion devices and beamlines in the existing infrastructure and is mainly based on extensive simulations, prototyping and testing new fabrication methods such as additive manufacturing (AM) to ensure the feasibility, reliability, and performance of several key elements. This paper presents an overview of the mechanical design R&D and thermomechanical performance verifications on copper alloy parts fabricated in additive manufacturing in the scope of SOLEIL-II project.K. Tavakoli, Z. Fan, A. Mary, M. Ribbens, N. Bechu, V. Leroux  Synchrotron soleilS. Sharma, M. Johanson, F. DePaola  Brookhaven National Laboratory",https://meow.elettra.eu/88/pdf/WEOB01.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEOB01,134,,
WEOB - Accelerators Session 1,WEOB02,Rapid development and implementation of a custom photon stop at the Advanced Light Source: from failure analysis to predictive maintenance,,,"In June of 2023, the Advanced Light Source (ALS) at Lawrence Berkeley National Laboratory, Berkeley, California, United States, experienced a vacuum interlock event that caused a beam dump. Upon investigation, the vacuum technicians discovered a leak in the cooling system of a custom photon stop in Sector 5 (12 total). This paper will detail the event, the temporary restoration of operations, and the process of how a new photon stop was designed, analyzed, fabricated, assembled, tested, qualified, installed and commissioned in a fourteen week window. Over 20 years had passed since the original photon stop was installed in the ALS. Since then, the technology landscape has changed and many of the manufacturing capabilities have lapsed or become extinct not only in the United States, but across international boundaries. This is especially true of brazing. There is a parallel discussion of the causality for the failure which led to the destructive evaluation of the original photon stop. Finally, engineering looked at the thermal fatigue analysis and provided the operation staff with a specific tool to evaluate and maintain the new photon stop.W. Hutcheson, G. Cutler, L. Kistulentz, N. Wenner, S. Morton, T. Swain  Lawrence Berkeley National Laboratory",https://meow.elettra.eu/88/pdf/WEOB02.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEOB02,137,,
WEOB - Accelerators Session 1,WEOB03,Cryogenic radiometry: a new absorber for X-rays up to,,,"keV141The accurate measurement of radiant power is essential for the calibration of X-ray detectors, such as silicon photodiodes. Cryogenic electrical substitution radiometers (ESRs) perform high accuracy, absolute, measurements of radiant power. Material and geometry of the absorber in an ESR are chosen to maximize the absorption in the energy range of interest, while providing a high thermal response and a short time constant. The highest energy design previously reported allowed the measurement of X-rays up to 60 keV. In this work we present a new absorber developed at the Canadian Light Source for energies from 25 keV to 150 keV. Monte Carlo simulations led to a design with an absorption > 99% in the entire energy range while considering all losses due to fluorescence and scattering. Measurements have been successfully performed at the Biomedical Imaging and Therapy beamline (05ID-2), which has a 3.7 T wiggler source and provides X-ray energies up to 150 keV.O. Piminchumo Marinos, J. Vogt  Canadian Light Source Inc., Canadian Light Source (Canada)",https://meow.elettra.eu/88/pdf/WEOB03.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEOB03,150,,
WEOB - Accelerators Session 1,WEOB04,"CBXFEL design, production, assembly, testing and installation status",,,"Use of a cavity-based X-ray free electron laser (CBXFEL) is potentially a way to dramatically improve the stability and coherence of existing XFELs. CBXFEL consists of low-emittance electron source, a magnet system with several undulators and chicanes, and an X-Ray cavity. The X-Ray cavity stores and circulates X-ray pulses for repeated FEL interactions with electron pulses until the FEL reaches saturation. The CBXFEL is expected to op-erate using 9.831 keV photons from LCLS, using synthet-ic diamonds as cavity Bragg mirrors. The LCLS copper linac will deliver two electron bunches 624 RF buckets apart, resulting in a total X-ray cavity length of 65500.87 mm. The final X-ray cavity design, assembly, and installation status will be presented in this paper.X. Permanyer, A. Halavanau, D. Zhu, G. Lanza, H. Wang, M. Montironi, M. Balcazar, P. Liu, Z. Huang  SLAC National Accelerator LaboratoryA. Bernhard, J. Anton, M. Golebiowski, M. White, S. Mashrafi, Y. Shvyd'ko  Argonne National LaboratoryD. Shu  Advanced Photon Source, Argonne National Laboratory",https://meow.elettra.eu/88/pdf/WEOB04.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEOB04,144,,
WEOB - Accelerators Session 1,WEOB05,A new RF-contact spring mechanism for exchangeable cathodes in high brightness guns at DESYA new,,,"th generation normal conducting electron gun with improved cell geometry and cooling concept for RF pulse durations of up to 1 ms at 10 Hz repetition rate, and gradients of ~60 MV/m at the cathode was developed and is being tested at the Photo Injector Test Facility at DESY in Zeuthen (PITZ). The cathode is inserted into the back wall of the gun cavity via a load lock system and a RF contact spring connects the cathode to the gun. In order to ensure reliable high gradient operation at such long pulse durations, a new RF contact spring mechanism for the exchangeable photo cathode plug was developed. The novel spring mechanism was integrated into the mechanical constraints given by the existing Gun5 design and is compatible with the standard cathode plugs. The new spring increases the number of contact points, shortens the path length of the RF currents and improves the spatial distribution of the contacts over the full circumference of the cathode plug. A new preloading mechanism allows to insert the cathode plug while the spring is unloaded and thus reduce friction and particle generation close to the RF cavitiy.F. Mueller, W. Koehler, M. Krasilnikov, X. Li, A. Oppelt, S. Philipp, L. Jachmann, F. Stephan, A. Ermakov, F. Brinker  Deutsches Elektronen-Synchrotron DESYM. Dayyani Kelisani  School of Particles and AcceleratorsA. Jeromin  DESY Nanolab",https://meow.elettra.eu/88/pdf/WEOB05.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEOB05,5,,
